Freq	Note	dB	Amp
187	F#3	-14.7	0.184077200146896
366	F#4	-28.3	0.0384591782045353
549	C#5	-34.7	0.0184077200146896
742	F#5	-38.8	0.0114815362149688
925	A#5	-32.9	0.0226464430759306
1109	C#6	-33.1	0.0221309470960564
1297	E6	-45	0.00562341325190349
1480	F#6	-55.9	0.00160324539069004
1671	G#6	-49.2	0.00346736850452532
1858	A#6	-39.8	0.0102329299228075
2044	C7	-50.2	0.00309029543251359
2218	C#7	-57.4	0.00134896288259165
2417	D7	-46.4	0.00478630092322639
2605	E7	-52.1	0.00248313310529557
2798	F7	-49.4	0.00338844156139203
2970	F#7	-64.6	0.00058884365535559
3171	G7	-60.6	0.000933254300796991
3369	G#7	-49.9	0.0031988951096914
3557	A7	-64.5	0.00059566214352901
3709	A#7	-59.2	0.00109647819614319
3945	B7	-56	0.00158489319246111
4144	C8	-57.2	0.00138038426460288
4327	C#8	-62.8	0.000724435960074991
4454	C#8	-67	0.000446683592150963
4724	D8	-62.1	0.000785235634610072
4932	D#8	-71.1	0.000278612116862977
5199	E8	-62.8	0.000724435960074991
5398	E8	-72.7	0.000231739464996848
6327	G8	-63.7	0.000653130552647472
10792	E9	-73.3	0.000216271852372702
